LISTA DE ARTICULOS Nº 195 VIGENCIA 13/03/2024,,,
,RESORTES AUTOMOTOR,PRECIO UNIT,
F307,TRACCION Nº 307                           FHC 1007,22437.946,
F308,TRACCION Nº 308                           FHC 1008,19791.031,
F309,TRACCION Nº 309                           FHC 1009,20671.844,
F310,TRACCION Nº 310                           FHC 1010,27987.743,
F311,TRACCION Nº 311                           FHC 1011,24768.669,
F312,TRACCION Nº 312                           FHC 1012,29811.741,
F313,TRACCION Nº 313                             A  320,21126.948,
F314,TRACCION Nº 314                           FHC 1014,20004.877,
F315,TRACCION Nº 315                           FHC 1015,20384.777,
F316,TRACCION Nº 316                           FHC 1016,20314.511,
F317,TRACCION Nº 317                             A  279,22609.551,
F318,TRACCION Nº 318                           FHC 1018,18975.330,
F319,TRACCION Nº 319                           FHC 1019,18910.877,
F320,TRACCION Nº 320                           FHC 1020,18327.592,
F321,TRACCION Nº 321                           FHC 1021,17275.728,
F322,TRACCION Nº 322                             A  102,17575.575,
F323,TRACCION Nº 323                             A  100,16823.558,
F324,TRACCION Nº 324                             A   70,15781.091,
F325,TRACCION Nº 325                             A   16,18237.681,
F326,TRACCION Nº 326                             A  251,14618.399,
F383,RESORTES FERRETERIA IDEM A 383,61465.600,
F384,RESORTE FERRETERIA IDEM A 384,58172.800,
F396,RESORTE HIDROLAVADORA,16297.482,
F397,AIRE COMPRIMIDO CHINO,18870.769,
F398,AIRE COMPRIMIDO MAELY SENIOR,18870.769,
F399,AIRE COMPRIMIDO MAELY MASTER,18870.769,
F400,AIRE COMPRIMIDO COMUN,18870.769,
D180,DISPLEY LINEA INDUSTRIALES,0.000,
SET180,RESORTES INDUSTRIALES CON 3 CAJAS Y 5 RESORT C/U Y DISPLEY.,3707401.493,
,,,
,RESORTES DOBLAR CAÑOS,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
FDC1,"1""  Hidrobronz. Resorte para doblar caños.       Ý",110138.679,
FDC2,"3/4"" Hidrobronz. Resorte para doblar caños.",62397.114,
FDC3,"1/2"" Hidrobronz. Resorte para doblar caños.",36194.767,
FDC4,"3/8"" Hidrobronz. Resorte para doblar caños.",31087.530,
FDC5,"3/8"" Cobre. Resorte para doblar caños.",27756.723,
FDC6,"1/4"" Cobre. Resorte para doblar caños.",26646.455,
,,,
,RESORTES HORNOS COCINA,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
FHC1001,Universal super largo. Varios modelos.,27463.897,
FHC1002,Oro Azul Virona.,21742.605,
FHC1003,Oro Azul Visor.,22301.410,
FHC1004,Oro Azul Economac.,21475.432,
FHC1005,Oro Azul Olimpia.,21551.759,
FHC1006,Domec.Tensor de parrilla.,20869.740,
FHC1007,Arthur Martin Colarin.,22437.946,
FHC1008,Eslabon de Lujo y Simplex. Parrilla.,19791.031,
FHC1009,Domec Antiguo.,20671.844,
FHC1010,Longvie Rector.,27987.743,
FHC1011,Arthur Martin moderno.,24768.669,
FHC1012,Longvie espejado.,29811.741,
FHC1013,Aurora visor.,19451.667,
FHC1014,Aurora Especial.,20004.877,
FHC1015,Pompella antigua. Varios,20384.777,
FHC1016,Orbis Sivarita.,20314.511,
FHC1017,Longvie Eslabon.,15583.725,
FHC1018,Gendin corto.,18975.330,
FHC1019,Orbis comun.,18910.877,
FHC1020,Oro Azul plancha.,18327.592,
FHC1021,Orbis. Modelos varios.,17275.728,
FHC1022,Domec Apolo.,18345.286,
FHC1024,"Cocina Industrial. 4,00 X 23,00 Derecho.",61158.270,
FHC1025,"Cocina Industrial. 4,00 X 23,00 Izquierdo.",61158.272,
FHC1026,"Cocina Industrial. 4,75 X 23,00 Derecho.",61158.272,
FHC1027,"Cocina Industrial. 4,75 X 23,00 Izquierdo.",61158.272,
D33,DISPLEY HORNOS COCINA,0.000,
SET33,HORNOS COCINAS CON 4 CAJAS Y 3 RESORTES C/U Y 1 EXHIBIDOR.,3910636.013,
,,,
,RESORTES METRO COMPRESION,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
MC032,"Mtro Comp. 0,30 X  2,00 P 1,20",19131.562,
MC033,"Mtro Comp. 0,30 X  3,00 P 1,30",21202.345,
MC034,"Mtro Comp. 0,30 X  4,00 P 2,10",21542.324,
MC035,"Mtro Comp. 0,30 X  5,00 P 2,40",21696.860,
MC036,"Mtro Comp. 0,30 X  6,00 P 3,00",22160.469,
MC053,"Mtro Comp. 0,50 X  3,00 P 1,50",20244.222,
MC054,"Mtro Comp. 0,50 X  4,00 P 1,70",20893.273,
MC0545,"Mtro Comp. 0,50 X  4,50 P 2,00",21604.139,
MC055,"Mtro Comp. 0,50 X  5,00 P 2,20",22438.633,
MC056,"Mtro Comp. 0,50 X  6,00 P 3,00",22902.242,
MC057,"Mtro Comp. 0,50 X  7,00 P 3,10",23644.015,
MC058,"Mtro Comp. 0,50 X  8,00 P 3,50",24323.973,
MC0510,"Mtro Comp. 0,50 X 10,00 P 4,20",34863.331,
MC0512,"Mtro Comp. 0,50 X 12,00 P 6,00",34925.146,
MC064,"Mtro Comp. 0,60 X  4,00 P 2,10",34090.651,
MC065,"Mtro Comp. 0,60 X  5,00 P 2,40",34739.703,
MC066,"Mtro Comp. 0,60 X  6,00 P 3,00",35079.682,
MC067,"Mtro Comp. 0,60 X  7,00 P 3,30",35419.661,
MC068,"Mtro Comp. 0,60 X  8,00 P 3,60",37799.516,
MC069,"Mtro Comp. 0,60 X  9,00 P 4,00",38170.403,
MC0610,"Mtro Comp. 0,60 X 10,00 P 4,60",38170.403,
MC0612,"Mtro Comp. 0,60 X 12,00 P 5,90",46298.999,
MC0614,"Mtro Comp. 0,60 X 14,00 P 7,00",46298.999,
MC073,"Mtro Comp. 0,70 X  3,00 P 1,60",46298.999,
MC074,"Mtro Comp. 0,70 X  4,00 P 2,30",37119.558,
MC076,"Mtro Comp. 0,70 X  6,00 P 3,10",37119.558,
MC078,"Mtro Comp. 0,70 X  8,00 P 4,40",37150.465,
MC0710,"Mtro Comp. 0,70 X 10,00 P 5,70",37459.537,
MC084,"Mtro Comp. 0,80 X  4,00 P 2,00",23953.087,
MC085,"Mtro Comp. 0,80 X  5,00 P 3,40",24045.808,
MC086,"Mtro Comp. 0,80 X  6,00 P 3,10",22160.469,
MC087,"Mtro Comp. 0,80 X  7,00 P 3,80",22500.448,
MC088,"Mtro Comp. 0,80 X  8,00 P 4,20",22933.149,
MC089,"Mtro Comp. 0,80 X  9,00 P 4,50",24293.066,
MC0810,"Mtro Comp. 0,80 X 10,00 P 5,30",25652.983,
MC0812,"Mtro Comp. 0,80 X 12,00 P 6,10",35326.939,
MC0814,"Mtro Comp. 0,80 X 14,00 P 7,00",37057.743,
MC0938,"Mtro Comp. 0,90 X  3,80 P 2,10",109760.000,
MC15,"Mtro Comp. 1,00 X  5,00 P 2,50",27507.416,
MC16,"Mtro Comp. 1,00 X  6,00 P 2,90",24571.231,
MC17,"Mtro Comp. 1,00 X  7,00 P 3,20",27507.416,
MC18,"Mtro Comp. 1,00 X  8,00 P 3,70",24725.767,
MC19,"Mtro Comp. 1,00 X  9,00 P 4,20",28187.374,
MC110,"Mtro Comp. 1,00 X 10,00 P 4,60",26672.921,
MC111,"Mtro Comp. 1,00 X 11,00 P 4,90",30752.673,
MC112,"Mtro Comp. 1,00 X 12,00 P 5,60",26703.828,
MC113,"Mtro Comp. 1,00 X 13,00 P 6,30",35357.847,
MC114,"Mtro Comp. 1,00 X 14,00 P 6,5",36965.022,
MC116,"Mtro Comp. 1,00 X 16,00 P 8,00",38572.196,
MC118,"Mtro Comp. 1,00 X 18,00 P 9,00",40117.557,
MC120,"Mtro Comp. 1,00 X 20,00 P10,20",41879.268,
MC1256,"Mtro Comp. 1,25 X  6,00 P 3,00",26518.385,
MC1257,"Mtro Comp. 1,25 X  7,00 P 3,50",27198.344,
MC1258,"Mtro Comp. 1,25 X  8,00 P 3,80",27723.766,
MC1259,"Mtro Comp. 1,25 X  9,00 P 4,40",28372.818,
MC12510,"Mtro Comp. 1,25 X 10,00 P 5,30",27167.436,
MC12512,"Mtro Comp. 1,25 X 12,00 P 5,80",29609.106,
MC12514,"Mtro Comp. 1,25 X 14,00 P 7,00",30845.394,
MC12516,"Mtro Comp. 1,25 X 16,00 P 8,20",35790.548,
MC12518,"Mtro Comp. 1,25 X 18,00 P 9,00",39499.413,
MC12520,"Mtro Comp. 1,25 X 20,00 P10,50",41971.989,
MC158,"Mtro Comp. 1,50 X  8,00 P 3,50",29887.271,
MC159,"Mtro Comp. 1,50 X  9,00 P 4,20",30196.343,
MC1510,"Mtro Comp. 1,50 X 10,00 P 4,50",32452.569,
MC1512,"Mtro Comp. 1,50 X 12,00 P 5,70",31732.093,
MC1514,"Mtro Comp. 1,50 X 14,00 P 7,40",32899.787,
MC1516,"Mtro Comp. 1,50 X 16,00 P 7,80",35264.368,
MC1518,"Mtro Comp. 1,50 X 18,00 P 8,70",38767.451,
MC1520,"Mtro Comp. 1,50 X 20,00 P 8,90",42299.727,
MC1525,"Mtro Comp. 1,50 X 25,00 P11,20",48342.545,
MC1530,"Mtro Comp. 1,50 X 30,00",69595.183,
MC1535,"Mtro Comp. 1,50 X 35,00",97433.257,
MC1540,"Mtro Comp. 1,50 X 40,00 ",108342.772,
MC17510,"Mtro Comp. 1,75 X 10,00 P 4,40",33717.174,
MC17512,"Mtro Comp. 1,75 X 12,00 P 5,20",34855.675,
MC17514,"Mtro Comp. 1,75 X 14,00 P 5,80",39351.299,
MC17516,"Mtro Comp. 1,75 X 16,00 P 7,20",49142.462,
MC17518,"Mtro Comp. 1,75 X 18,00 P 9,10",51955.018,
MC17520,"Mtro Comp. 1,75 X 20,00 P 9,60",56652.913,
MC17522,"Mtro Comp. 1,75 X 22,00 P 9,70",65183.303,
MC17525,"Mtro Comp. 1,75 X 25,00 P11,80",66110.519,
MC17530,"Mtro Comp. 1,75 X 30,00 P11,80",78184.750,
MC212,"Mtro Comp. 2,00 X 12,00 P 5,50",43022.834,
MC214,"Mtro Comp. 2,00 X 14,00 P 6,00",49760.606,
MC216,"Mtro Comp. 2,00 X 16,00 P 7,00",50626.008,
MC218,"Mtro Comp. 2,00 X 18,00 P 9,00",51810.089,
MC220,"Mtro Comp. 2,00 X 20,00 P 9,90",55719.327,
MC222,"Mtro Comp. 2,00 X 22,00 P10,00",60593.181,
MC225,"Mtro Comp. 2,00 X 25,00 P11,50",64502.419,
MC230,"Mtro Comp. 2,00 X 30,00 P14,00",80139.369,
MC232,"Mtro Comp. 2,00 X 32,00 ",149065.467,
MC235,"Mtro Comp. 2,00 X 35,00 P16,00",117277.125,
MC240,"Mtro Comp. 2,00 X 40,00 ",151582.679,
MC22514,"Mtro Comp. 2,25 X 14,00 P 6,30",54277.236,
MC22516,"Mtro Comp. 2,25 X 16,00 P 7,40",55719.327,
MC22518,"Mtro Comp. 2,25 X 18,00 P 7,80",58638.563,
MC22520,"Mtro Comp. 2,25 X 20,00 P10,00",62547.800,
MC22522,"Mtro Comp. 2,25 X 22,00 P 9,00",67447.039,
MC22525,"Mtro Comp. 2,25 X 25,00 P11,30",69401.658,
MC22530,"Mtro Comp. 2,25 X 30,00 P14,00",92857.083,
MC2514,"Mtro Comp. 2,50 X 14,00 P 6,50",56683.944,
MC2516,"Mtro Comp. 2,50 X 16,00 P 6,50",60593.181,
MC2518,"Mtro Comp. 2,50 X 18,00 P 8,00",63537.802,
MC2520,"Mtro Comp. 2,50 X 20,00 P 9,50",68411.656,
MC2522,"Mtro Comp. 2,50 X 22.00 P 9,30",71356.277,
MC2525,"Mtro Comp. 2,50 X 25,00 P11,90",77113.486,
MC2530,"Mtro Comp. 2,50 X 30.00 P14,10",92721.626,
MC27514,"Mtro Comp. 2,75 X 14,00 P 6,60",62547.800,
MC27516,"Mtro Comp. 2,75 X 16,00 P 7,30",65492.421,
MC27518,"Mtro Comp. 2,75 X 18,00 P 7,50",69401.658,
MC27520,"Mtro Comp. 2,75 X 20,00 P 9,00",73310.896,
MC27522,"Mtro Comp. 2,75 X 22,00 P 9,00",78184.750,
MC27525,"Mtro Comp. 2,75 X 25,00 P11,70",78184.750,
MC27530,"Mtro Comp. 2,75 X 30,00 P12,50",94811.702,
MC27535,"Mtro Comp. 2,75 X 35,00 P12,51",144692.557,
MC27540,"Mtro Comp. 2,75 X 40,00 P12,52",172857.441,
MC318,"Mtro Comp. 3,00 X 18,00 P 8,50",80139.369,
MC320,"Mtro Comp. 3,00 X 20,00 P 8,50",86571.091,
MC322,"Mtro Comp. 3,00 X 22,00 P 9,50",93957.914,
MC325,"Mtro Comp. 3,00 X 25,00 P11,50",95039.667,
MC328,"Mtro Comp. 3,00 X 28,00 P11,50",100448.428,
MC330,"Mtro Comp. 3,00 X 30,00 P13,60",102457.397,
MC332,"Mtro Comp. 3,00 X 32,00 ",144822.349,
MC335,"Mtro Comp. 3,00 X 35,00 P15,00",145631.790,
MC350,"Mtro Comp. 3,00 X 50",242724.447,
MC3530,"Mtro Comp. 3,50 X 30,00 ",196075.332,
MC3532,"Mtro Comp. 3,50 X 32,00 ",196291.682,
MC422,"Mtro Comp. 4,00 X 22,00 P 9,00",151043.529,
MC425,"Mtro Comp. 4,00 X 25,00 P11,00",151136.250,
MC430,"Mtro Comp. 4,00 X 30,00 P13,00",151445.322,
MC435,"Mtro Comp. 4,00 X 35,00 P15,00",155404.883,
MC440,"Mtro Comp. 4,00 X 40,00 P17,00",161268.740,
MC445,"Mtro Comp. 4,00 X 45,00 P18,00",210134.208,
MC450,"Mtro Comp. 4,00 X 50,00 P22,00",224781.157,
MC4530,"Mtro Comp. 4,50 X 30,00 P13,00",184292.625,
MC4535,"Mtro Comp. 4,50 X 35,00 P14,00",204769.584,
MC4540,"Mtro Comp. 4,50 X 40,00 P16,00",215008.063,
MC4545,"Mtro Comp. 4,50 X 45,00 P19,00",235485.021,
MC4550,"Mtro Comp. 4,50 X 50,00 P21,00",243675.805,
MC525,"Mtro Comp. 5,00 X 25,00 P11,00",204769.584,
MC530,"Mtro Comp. 5,00 X 30,00 P12,00",215008.063,
MC535,"Mtro Comp. 5,00 X 35,00 P14,00",225246.542,
MC540,"Mtro Comp. 5,00 X 40,00 P16,00",253284.575,
MC545,"Mtro Comp. 5,00 X 45,00 P20,00",254366.327,
MC550,"Mtro Comp. 5,00 X 50,00 P21,00",263329.418,
MC630,"Mtro Comp. 6,00 X 30,00 X P 12",274159.304,
MC635,"Mtro Comp. 6,00 X 35,00 X P 13",281013.286,
MC640,"Mtro Comp. 6,00 X 40,00 P17,00",287867.269,
MC650,"Mtro Comp. 6,00 X 50,00 P23,00",298148.243,
MC660,"Mtro Comp. 6,00 X 60,00 ",467446.805,
MC840,"Mtro Comp. 8,00 X 40,00",471211.303,
MC850,"Mtro Comp. 8,00 X 50,00",475008.254,
MC860,"Mtro Comp. 8,00 X 60,00",516255.469,
MC870,"Mtro Comp. 8,00 X 70,00 X P34",520247.135,
MC875,"Mtro Comp. 8,00 X 75,00 X P 36",522161.836,
MC1040,"Mtro Comp. 10,00 X 40,00",575741.028,
MC1050,"Mtro Comp. 10,00 X 50,00",591155.998,
MC1055,"Mtro Comp. 10,00 X 55,00",748778.126,
MC1060,"Mtro Comp. 10,00 X 60,00",748778.126,
MC1070,"Mtro Comp. 10,00 X 70,00",807906.707,
MC1075,"Mtro Comp. 10,00 X 75,00",810600.270,
MC1240,"Mtro Comp. 12,00 X 40,00",827605.416,
MC1250,"Mtro Comp. 12,00 X 50,00",945862.578,
MC1260,"Mtro Comp. 12,00 X 60,00",1036502.604,
MC1270,"Mtro Comp. 12,00 X 70,00 X P 22",1142914.578,
MC1275,"Mtro Comp. 12,00 X 75,00 X P 24",1182344.449,
MC1280,"Mtro Comp. 12,00 X 80,00",1241440.577,
MC1340,"Mtro Comp. 13,00 X 40,00",926196.321,
MC1350,"Mtro Comp. 13,00 X 50,00",1048510.054,
MC1360,"Mtro Comp. 13,00 X 60,00",1103711.874,
MC1370,"Mtro Comp. 13,00 X 70,00",1202043.158,
MC1380,"Mtro Comp. 13,00 X 80,00 X P 26",1339934.124,
SET50,METROS DE 50 MEDIDAS Y 1 PERCHERO,2182474.272,
SET52,METROS 52 MEDIDAS Y 2 PERCHEROS.,2663645.542,
SET102,"METROS DE MAS SALIDA, CON 102 METROS Y 3 PERCHEROS",4846119.814,
SET32,"METROS 1,75 X 25 HASTA 2,25 X 18, CON  1 PERCHERO",2430169.752,
SET34,"METROS 2,25 X 20 HASTA 2,75 X 16 , CON 1 PERCHERO.",2778491.917,
SET35,"METROS 2,75 X 18 HASTA 3 X 35, CON 1 PERCHERO.",3463398.306,
SET204,"METROS 4 X 22 HASTA 5 X 25, CON 1 PERCHERO.",4483324.910,
SET224,"METROS 5 X 30 HASTA 6 X 50, CON  1 PERCHERO.",5917262.718,
SET41,METROS COMPLETO (264 MEDIDAS) Y 11 PERCHEROS.,26521179.254,
,,,
,RESORTES METRO EXPANSION,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
ME032,"0,30 X  2,00 Metro Expansion",35326.94,
ME033,"0,30 X  3,00 Metro Expansion",44969.99,
ME034,"0,30 X  4,00 Metro Expansion",54748.44,
ME035,"0,30 X  5,00 Metro Expansion",77051.67,
ME036,"0,30 X  6,00 Metro Expansion",88332.80,
ME053,"0,50 X  3,00 Metro Expansion",32112.59,
ME054,"0,50 X  4,00 Metro Expansion",46577.16,
ME0545,"0,50 X  4,50 Metro Expansion",47813.45,
ME055,"0,50 X  5,00 Metro Expansion",48968.79,
ME056,"0,50 X  6,00 Metro Expansion",52789.51,
ME057,"0,50 X  7,00 Metro Expansion",60145.43,
ME058,"0,50 X  8,00 Metro Expansion",72446.50,
ME0510,"0,50 X 10,00 Metro Expansion",99552.12,
ME0512,"0,50 X 12,00 Metro Expansion",115623.87,
ME064,"0,60 X  4,00 Metro Expansion",47844.36,
ME065,"0,60 X  5,00 Metro Expansion",53005.86,
ME066,"0,60 X  6,00 Metro Expansion",57827.39,
ME067,"0,60 X  7,00 Metro Expansion",63916.11,
ME068,"0,60 X  8,00 Metro Expansion",70653.88,
ME069,"0,60 X  9,00 Metro Expansion",77082.58,
ME0610,"0,60 X 10,00 Metro Expansion",83511.28,
ME0612,"0,60 X 12,00 Metro Expansion",106011.73,
ME0614,"0,60 X 14,00 Metro Expansion",119889.06,
ME073,"0,70 X  3,00 Metro Expansion",46917.14,
ME074,"0,70 X  4,00 Metro Expansion",49791.51,
ME076,"0,70 X  6,00 Metro Expansion",57827.39,
ME078,"0,70 X  8,00 Metro Expansion",67439.53,
ME0710,"0,70 X 10,00 Metro Expansion",78689.75,
ME084,"0,80 X  4,00 Metro Expansion",46948.05,
ME085,"0,80 X  5,00 Metro Expansion",49513.35,
ME086,"0,80 X  6,00 Metro Expansion",50780.54,
ME087,"0,80 X  7,00 Metro Expansion",54582.13,
ME088,"0,80 X  8,00 Metro Expansion",54613.04,
ME089,"0,80 X  9,00 Metro Expansion",59650.91,
ME0810,"0,80 X 10,00 Metro Expansion",64750.60,
ME0812,"0,80 X 12,00 Metro Expansion",90558.12,
ME0814,"0,80 X 14,00 Metro Expansion",99304.86,
ME0938,"0,90 X  3,80 Metro Expansion",61505.35,
ME15,"1,00 X  5,00 Metro Expansion",49513.35,
ME16,"1,00 X  6,00 Metro Expansion",50780.54,
ME17,"1,00 X  7,00 Metro Expansion",58352.81,
ME18,"1,00 X  8,00 Metro Expansion",54582.13,
ME19,"1,00 X  9,00 Metro Expansion",66234.15,
ME110,"1,00 X 10,00 Metro Expansion",66945.01,
ME111,"1,00 X 11,00 Metro Expansion",72539.22,
ME112,"1,00 X 12,00 Metro Expansion",76000.83,
ME113,"1,00 X 13,00 Metro Expansion",85149.36,
ME114,"1,00 X 14,00 Metro Expansion",91145.36,
ME116,"1,00 X 16,00 Metro Expansion",102488.30,
ME118,"1,00 X 18,00 Metro Expansion",118652.77,
ME120,"1,00 X 20,00 Metro Expansion",129377.58,
ME1256,"1,25 X  6,00 Metro Expansion",49358.81,
ME1257,"1,25 X  7,00 Metro Expansion",51089.62,
ME1258,"1,25 X  8,00 Metro Expansion",53067.68,
ME1259,"1,25 X  9,00 Metro Expansion",58012.83,
ME12510,"1,25 X 10,00 Metro Expansion",62957.98,
ME12512,"1,25 X 12,00 Metro Expansion",73590.06,
ME12514,"1,25 X 14,00 Metro Expansion",82769.50,
ME12516,"1,25 X 16,00 Metro Expansion",95039.67,
ME12518,"1,25 X 18,00 Metro Expansion",107309.83,
ME12520,"1,25 X 20,00 Metro Expansion",118034.63,
ME158,"1,50 X  8,00 Metro Expansion",54303.97,
ME159,"1,50 X  9,00 Metro Expansion",59249.12,
ME1510,"1,50 X 10,00 Metro Expansion",64163.37,
ME1512,"1,50 X 12,00 Metro Expansion",72786.48,
ME1514,"1,50 X 14,00 Metro Expansion",80204.21,
ME1516,"1,50 X 16,00 Metro Expansion",92567.09,
ME1518,"1,50 X 18,00 Metro Expansion",104929.97,
ME1520,"1,50 X 20,00 Metro Expansion",119672.71,
ME1525,"1,50 X 25,00 Metro Expansion",156328.66,
ME17510,"1,75 X 10,00 Metro Expansion",58198.27,
ME17512,"1,75 X 12,00 Metro Expansion",71117.49,
ME17514,"1,75 X 14,00 Metro Expansion",76526.25,
ME17516,"1,75 X 16,00 Metro Expansion",86200.20,
ME17518,"1,75 X 18,00 Metro Expansion",103446.43,
ME17520,"1,75 X 20,00 Metro Expansion",111018.69,
ME17522,"1,75 X 22,00 Metro Expansion",127152.26,
ME17525,"1,75 X 25,00 Metro Expansion",134724.52,
ME17530,"1,75 X 30,00 Metro Expansion",189862.98,
ME212,"2,00 X 12,00 Metro Expansion",69788.48,
ME214,"2,00 X 14,00 Metro Expansion",75939.01,
ME216,"2,00 X 16,00 Metro Expansion",88363.71,
ME218,"2,00 X 18,00 Metro Expansion",105857.19,
ME220,"2,00 X 20,00 Metro Expansion",120198.13,
ME222,"2,00 X 22,00 Metro Expansion",134508.17,
ME225,"2,00 X 25,00 Metro Expansion",152959.78,
ME230,"2,00 X 30,00 Metro Expansion",205254.77,
ME232,"2,00 X 32,00 Metro Expansion",272972.47,
ME235,"2,00 X 35,00 Metro Expansion",224781.16,
ME240,"2,00 X 40,00 Metro Expansion",291923.58,
ME22514,"2,25 X 14,00 Metro Expansion",87869.00,
ME22516,"2,25 X 16,00 Metro Expansion",104216.72,
ME22518,"2,25 X 18,00 Metro Expansion",117512.51,
ME22520,"2,25 X 20,00 Metro Expansion",132825.23,
ME22522,"2,25 X 22,00 Metro Expansion",163477.20,
ME22525,"2,25 X 25,00 Metro Expansion",166555.67,
ME22530,"2,25 X 30,00 Metro Expansion",204346.51,
ME2514,"2,50 X 14,00 Metro Expansion",87869.00,
ME2516,"2,50 X 16,00 Metro Expansion",104216.72,
ME2518,"2,50 X 18,00 Metro Expansion",117512.51,
ME2520,"2,50 X 20,00 Metro Expansion",134868.69,
ME2522,"2,50 X 22,00 Metro Expansion",168599.14,
ME2525,"2,50 X 25,00 Metro Expansion",168599.14,
ME2530,"2,50 X 30,00 Metro Expansion",214563.83,
ME27514,"2,75 X 14,00 Metro Expansion",93999.39,
ME27516,"2,75 X 16,00 Metro Expansion",110347.11,
ME27518,"2,75 X 18,00 Metro Expansion",125686.37,
ME27520,"2,75 X 20,00 Metro Expansion",144077.56,
ME27522,"2,75 X 22,00 Metro Expansion",183911.86,
ME27525,"2,75 X 25,00 Metro Expansion",183911.86,
ME27530,"2,75 X 30,00 Metro Expansion",234998.48,
ME27535,"2,75 X 35,00 Metro Expansion",305192.83,
ME27540,"2,75 X 40,00 Metro Expansion",411346.86,
ME318,"3,00 X 18,00 Metro Expansion",155194.93,
ME320,"3,00 X 20,00 Metro Expansion",155194.93,
ME322,"3,00 X 22,00 Metro Expansion",183911.86,
ME325,"3,00 X 25,00 Metro Expansion",193120.72,
ME328,"3,00 X 28,00 Metro Expansion",234998.48,
ME330,"3,00 X 30,00 Metro Expansion",240120.41,
ME332,"3,00 X 32,00 Metro Expansion",333460.68,
ME335,"3,00 X 35,00 Metro Expansion",330131.45,
ME340,"3,00 X 40,00 Metro Expansion",368568.67,
ME3522,"3,50 X 22,00 Metro Expansion",352847.93,
ME3530,"3,50 X 30,00 Metro Expansion",385321.57,
ME3532,"3,50 X 32,00 Metro Expansion",387421.86,
ME422,"4,00 X 22,00 Metro Expansion",283015.49,
ME425,"4,00 X 25,00 Metro Expansion",290485.62,
ME430,"4,00 X 30,00 Metro Expansion",314443.40,
ME435,"4,00 X 35,00 Metro Expansion",369630.86,
ME440,"4,00 X 40,00 Metro Expansion",432102.50,
ME445,"4,00 X 45,00 Metro Expansion",489375.13,
ME450,"4,00 X 50,00 Metro Expansion",546619.95,
ME4530,"4,50 X 30,00 Metro Expansion",399797.39,
ME4535,"4,50 X 35,00 Metro Expansion",449784.18,
ME4540,"4,50 X 40,00 Metro Expansion",524748.21,
ME4545,"4,50 X 45,00 Metro Expansion",609405.86,
ME4550,"4,50 X 50,00 Metro Expansion",662203.80,
ME525,"5,00 X 25,00 Metro Expansion",347668.29,
ME530,"5,00 X 30,00 Metro Expansion",348217.92,
ME535,"5,00 X 35,00 Metro Expansion",391656.15,
ME540,"5,00 X 40,00 Metro Expansion",461442.15,
ME545,"5,00 X 45,00 Metro Expansion",528735.80,
ME550,"5,00 X 50,00 Metro Expansion",579295.05,
ME630,"6,00 X 30,00 Metro Expansion",399512.20,
ME635,"6,00 X 35,00 Metro Expansion",408143.74,
ME640,"6,00 X 40,00 Metro Expansion",489570.18,
ME650,"6,00 X 50,00 Metro Expansion",654277.51,
ME660,"6,00 X 60,00 Metro Expansion",996942.92,
ME840,"8,00 X 40,00 Metro Expansion",653695.53,
ME850,"8,00 X 50,00 Metro Expansion",730614.16,
ME860,"8,00 X 60,00 Metro Expansion",872873.32,
ME870,"8,00 X 70,00 Metro Expansion",996942.92,
ME875,"8,00 X 75,00 Metro Expansion",1032548.03,
ME1040,"10,00 X 40,00 Metro Expansion",780603.21,
ME1050,"10,00 X 50,00 Metro Expansion",865197.59,
ME1055,"10,00 X 55,00 Metro Expansion",922862.37,
ME1060,"10,00 X 60,00 Metro Expansion",1038256.45,
ME1070,"10,00 X 70,00 Metro Expansion",1230536.92,
ME1075,"10,00 X 75,00 Metro Expansion",1778586.16,
ME1240,"12,00 X 40,00 Metro Expansion",999748.76,
ME1250,"12,00 X 50,00 Metro Expansion",1149715.91,
ME1260,"12,00 X 60,00 Metro Expansion",1303553.18,
ME1270,"12,00 X 70,00 Metro Expansion",1495801.39,
ME1275,"12,00 X 75,00 Metro Expansion",1572752.28,
ME1280,"12,00 X 80,00 Metro Expansion",1688114.11,
ME1340,"13,00 X 40,00 Metro Expansion",1076699.65,
ME1350,"13,00 X 50,00 Metro Expansion",1230536.92,
ME1360,"13,00 X 60,00 Metro Expansion",1384341.94,
ME1370,"13,00 X 70,00 Metro Expansion",1653476.54,
ME1380,"13,00 X 80,00 Metro Expansion",1768838.36,
,ANILLOS SEGUERS DIN 471 A,PRECIO UNIT.,
0,DESCRIPCION,LISTA 1,
4710004,A. Seguridad DIN 471 A   4,165.657,
4710005,A. Seguridad DIN 471 A   5,165.657,
4710006,A. Seguridad DIN 471 A   6,220.231,
4710007,A. Seguridad DIN 471 A   7,273.246,
4710008,A. Seguridad DIN 471 A   8,274.062,
4710009,A. Seguridad DIN 471 A   9,327.820,
4710010,A. Seguridad DIN 471 A  10,354.109,
4710011,A. Seguridad DIN 471 A  11,381.615,
4710012,A. Seguridad DIN 471 A  12,421.733,
4710013,A. Seguridad DIN 471 A  13,491.542,
4710014,A. Seguridad DIN 471 A  14,562.853,
4710015,A. Seguridad DIN 471 A  15,568.274,
4710016,A. Seguridad DIN 471 A  16,618.673,
